X_aligned,Y_aligned,Z_aligned,Hardness,Type,Material
-89.79043077540942,-31.42586910553799,61.02380859376177,583.0,HL,STAIN. Steel
-71.13681226889763,-62.80024480389061,60.67146969329957,522.0,HL,STAIN. Steel
-69.39682334977338,-69.08319044069194,61.01482593719169,670.0,HL,STAIN. Steel
-93.76664722245192,-46.37739293426136,60.86459248544105,601.0,HL,STAIN. Steel
